platform_Name,movieId,title,genres,director ,starring
Chorki,15,HERO 420,COMEDY,"Saikat Nasir, Sujit Mondal","Om, Nusraat Faria, Riya Sen, Ashish Vidyarthi"
Chorki,16,ROMEO VS JULIET,COMEDY,Ashok Pati,"Mahiya Mahi, Ankush Hazra, Nita Mistry, Kharaj Mukherjee, Supriyo Dutta, Ali Raj, Tulika Basu"
Chorki,17,BHALOBASHA AAJ KAL,ROMANTIC,P.A. Kajal,"Shakib Khan, Mahiya Mahi, Ali Raj, Ziaul Hoque Polash, Misha Sawdagor"
Chorki,18,AASHIQUI: TRUE LOVE,ROMANCE,"Ashok Pati, Abdul Aziz","Ankush Hazra, Nusrat Faria, Arindam Dutta, Rajatava Dutta"
Chorki,19,AGNEE,ACTION,Iftakar Chowdhury,"Mahiya Mahi, Arifin Shuvoo, Aliraj"
Chorki,20,NICE TO MEET YOU,ROMANTIC,Rasel Shikdar,"Mumtaheena Chowdhury Toya, Tamim Mridha"
Chorki,21,FAGUN THEKE FAGUNE,ROMANTIC,Amitabh Reza Chowdhury,"Safa Kabir, Sudip Biswas Deep"
Chorki,22,AR THEKO NA DURE,ROMANTIC,Raka Noshin Nower,"Sunerah Binte Kamal, Irfan Sajjad"
Chorki,23,BOKUL FUL,THRILLER,Saraf Ahmed Zibon,"Mosharraf Karim, Tasnuva Tisha, Hindol Roy, Masud Harun, Sheikh Merajul Islam, Hedayet Nannu, Hasnat Ripon, Tuhin Chowdhury, Deepak Karmakar, Sheikh Shawpna, Shetaj Jebin, Ariyan."
Chorki,24,NETWORKER BAIRE ,FEEL GOOD,Mizanur Rahman Aryan,"Sariful Razz,Yash Rohan, Khairul Basar, Jonayed Bukdadi, Nazia Haque Orsha,Tasnia Farin, Nazifa Tushi,Tasnuva Tisha, Shamima Naznin,Manosh Bandapadhaya,Mahmood Sajjad,Munira Yusuf Memi"
Chorki,25,WAITING ROOM,FICTION,Mostofa Sarwar Farooki,"Arifin Shuvo, Nusrat Imrose Tisha, Faisal Ahsan Ullah, Samia Rahman, Dicon Nur, Ahsan Kabir"
Chorki,26,OFF BEAT,ROMANTIC,Afsana Mimi,"Joya Ahsan, Tahsan, Jon Kabir, Intekhab Dinar, Shamim Hossain, Shakib & Black"
Chorki,27,JODI JANTE,SHORT FILM,Lasker Niaz,"Yash Rohan, Sumaiya Heme"
Chorki,28,NISHWAS ,ACTION,Raihan Rafi,"Tasnia Farin, Imtiaz Barshon, Solaiman Khoka, Dilara Zaman, Safa Kabir, Sayed Zaman Shawon, Ashok Bepari, Hamidur Rahman, Neel Hurerzahan, Kamruzzaman Tapu, Rashed Mamun Apu, Farhad Limon, Farzana Chobi, Anwar Hossain, Purnima Bristi, Masum Rezwan, Rusho Sheikh, Jon Armstrong, Sujon Habib"
Chorki,29,THEERAN,ACTION,H. Vinoth,"Karthi, Rakul Preet Singh, Abhimanyu Singh"
Chorki,30,GOHINE SHOBDO,ACTION,Khalid Mahmood Mithu,"Emon, Kusum Sikder"
Chorki,31,SCOOTY,DRAMA,Arifur Rahman,"Nazifa Tushi, Siam Raihan, Shangeeta Chowdhury, Ashok Bepari, Hedayet Nannu, Adnan Adib Khan, Ashfakul Ashekin,Reshmee, Mohona , Shashi Afroza, Sonia Yeasmin, Amin, Maria, Tanisha, Ohona, Krishna."
Chorki,32,DESHA: THE LEADER,ACTION,Saikat Nasir,"Shipan Mitra, Mahiya Mahi,Tariq Anam Khan"
Chorki,33,BHALOBASHA AAJ KAL,ROMANTIC,P.A. Kajal,"Shakib Khan, Mahiya Mahi, Ali Raj, Ziaul Hoque Polash, Misha Sawdagor"
